Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,32000.5,33440.0,28130.0,31971.9,31971.9,81100000000
2021-01-05,31977.0,34437.5,30221.1,33992.4,33992.4,67540000000
2021-01-06,34013.6,36844.8,33514.0,36824.4,36824.4,75280000000
2021-01-07,36825.4,40180.4,36491.2,39371.0,39371.0,84760000000
2021-01-08,39381.8,41946.7,36838.6,40797.6,40797.6,88100000000
2021-01-11,38346.5,38346.5,30549.6,35566.7,35566.7,123320000000
2021-01-12,35516.4,36563.8,32697.9,33922.9,33922.9,74770000000
2021-01-13,33916.1,37599.9,32584.6,37316.4,37316.4,69520000000
2021-01-14,37325.1,39966.4,36886.1,39187.3,39187.3,68920000000
2021-01-15,39188.0,39577.7,34659.6,36825.4,36825.4,75760000000
2021-02-01,33114.6,34638.2,32384.1,33537.2,33537.2,61400000000
2021-03-01,45159.5,49784.0,45159.5,49631.2,49631.2,53890000000
2021-04-01,58926.6,59586.1,58505.3,59095.8,59095.8,35830000000
2021-05-03,56627.1,58973.3,56546.8,57200.3,57200.3,51740000000
2021-06-01,37293.8,37896.8,35787.1,36654.3,36654.3,41420000000
2021-07-01,35035.9,35035.9,32883.8,33572.1,33572.1,29600000000
2021-08-02,39912.0,40000.0,38700.0,39974.5,39974.5,28200000000
2021-09-01,47099.8,48844.0,46562.4,48847.1,48847.1,33100000000
2021-10-01,43817.0,48436.0,43320.0,48199.9,48199.9,42000000000
2021-11-01,61320.4,62448.7,60122.0,61004.4,61004.4,34500000000
2021-12-01,57024.4,59041.7,56553.1,57229.8,57229.8,36850000000
2022-01-03,47343.5,47510.7,45835.9,46458.1,46458.1,33070000000
2022-02-01,38481.8,39115.1,38113.7,38743.2,38743.2,20280000000
2022-03-01,43194.5,44793.6,42952.6,44354.6,44354.6,32470000000
2022-04-01,45554.2,46816.5,45173.8,45897.6,45897.6,27960000000
2022-05-02,38480.9,39074.3,38156.9,38529.3,38529.3,32920000000
2022-06-01,31792.6,31995.0,29501.6,29799.1,29799.1,41130000000
2022-07-01,19924.1,20835.8,19056.2,19269.4,19269.4,30750000000
2022-08-01,23336.7,23464.8,22892.4,23212.7,23212.7,26020000000
2022-09-01,20050.5,20155.2,19653.9,20127.1,20127.1,30180000000
2022-10-03,19044.8,19688.3,19024.7,19623.6,19623.6,30480000000
2022-11-01,20494.9,20658.2,20385.1,20485.1,20485.1,39810000000
2022-12-01,17168.0,17230.9,16879.9,16967.1,16967.1,24890000000
2023-01-03,16688.8,16760.4,16622.8,16679.9,16679.9,13900000000
2023-02-01,23137.8,23764.8,22722.1,23723.8,23723.8,28680000000
2023-03-01,23147.1,23858.0,23086.8,23628.8,23628.8,24100000000
2023-04-03,28197.8,28475.6,27276.7,27790.1,27790.1,19560000000
2023-05-01,29227.1,29301.1,27680.1,28091.6,28091.6,18650000000
2023-06-01,27210.6,27346.1,26671.7,26819.2,26819.2,14670000000
2023-07-03,30587.3,31375.6,30587.3,31156.4,31156.4,14940000000
2023-08-01,29230.9,29749.1,28657.4,29704.4,29704.4,18770000000
2023-09-01,25934.0,26125.9,25362.6,25800.7,25800.7,17200000000
2023-10-02,27976.4,28532.4,27339.6,27505.7,27505.7,21000000000
2023-11-01,34657.2,35527.2,34127.3,35443.6,35443.6,24400000000
2023-12-01,37748.3,38847.0,37638.9,38688.8,38688.8,25200000000
2024-01-02,44187.1,45899.7,44148.6,44957.9,44957.9,39330000000
2024-02-01,42569.8,43243.2,41879.2,43075.8,43075.8,21410000000
2024-03-01,61168.0,63155.0,60802.0,62440.7,62440.7,40180000000
2024-04-01,71333.5,71342.1,68110.7,69702.1,69702.1,34880000000
2024-05-01,60609.5,60760.6,56555.3,58254.0,58254.0,48430000000
2024-06-03,67753.4,70230.8,67589.8,68804.8,68804.8,26080000000
2024-07-01,62678.9,63883.2,62480.9,62820.6,62820.6,24200000000
2024-08-01,64627.8,65582.4,63500.0,64250.0,64250.0,29800000000
2024-09-02,57388.0,59850.0,57120.0,59150.0,59150.0,28500000000
