"Date","Open","High","Low","Close","Volume","ticker","name"
"1999-01-22 00:00:00-05:00","0.040111494969688924","0.04476717812923988","0.035575001588857194","0.03760487213730812","2714688000","NVDA","NVIDIA Corporation (NVDA) Historical Data"
"1999-01-25 00:00:00-05:00","0.0405891842926367","0.04202127931401817","0.037604889070175215","0.04154452681541443","510480000","NVDA","NVIDIA Corporation (NVDA) Historical Data"
"1999-01-26 00:00:00-05:00","0.04202128305003959","0.042857435814769404","0.037724078841054914","0.03832093998789787","343200000","NVDA","NVIDIA Corporation (NVDA) Historical Data"
"1999-01-27 00:00:00-05:00","0.03844012559017652","0.03939546817738243","0.03629106756586203","0.038201749324798584","244368000","NVDA","NVIDIA Corporation (NVDA) Historical Data"
"1999-01-28 00:00:00-05:00","0.03820174368506283","0.038440119915249205","0.0378432622848092","0.038081638514995575","227520000","NVDA","NVIDIA Corporation (NVDA) Historical Data"
"1999-01-29 00:00:00-05:00","0.038081654805819626","0.038201760027266295","0.036291077733039856","0.036291077733039856","244032000","NVDA","NVIDIA Corporation (NVDA) Historical Data"
"1999-02-01 00:00:00-05:00","0.03629106560972293","0.037246404729959465","0.03629106560972293","0.037008028477430344","154704000","NVDA","NVIDIA Corporation (NVDA) Historical Data"
"1999-02-02 00:00:00-05:00","0.03629105689495783","0.03724639578578374","0.03306838273796726","0.034142911434173584","264096000","NVDA","NVIDIA Corporation (NVDA) Historical Data"
"1999-02-03 00:00:00-05:00","0.033665245507967574","0.03533663183716461","0.033425950537228","0.034858960658311844","75120000","NVDA","NVIDIA Corporation (NVDA) Historical Data"
"1999-02-04 00:00:00-05:00","0.035336621772437286","0.03772405822407489","0.03485895072963682","0.03676871955394745","181920000","NVDA","NVIDIA Corporation (NVDA) Historical Data"
"1999-02-05 00:00:00-05:00","0.03736558970830484","0.03820174230135636","0.0364111660594181","0.037843260914087296","136848000","NVDA","NVIDIA Corporation (NVDA) Historical Data"
"1999-02-08 00:00:00-05:00","0.03808164559736826","0.03820175078977252","0.03653036057949066","0.03653036057949066","154080000","NVDA","NVIDIA Corporation (NVDA) Historical Data"
